ID,Repo,Workflow,Category,Success_Count,Forward_Success,Backward_Success,Bidirectional_Success,Forward_Status,Backward_Status,Bidirectional_Status,Forward_URL,Backward_URL,Bidirectional_URL
259,faster-whisper,ci.yml,Fwd+Bidir Only (Back MISSED),2,✓,✗,✓,success,failure,success,https://github.com/Muna4029/faster-whisper/actions/runs/32501031523,https://github.com/RabeyaMuna/faster-whisper/actions/runs/33794553526,https://github.com/RabeyaMuna/faster-whisper/actions/runs/33939306327
371,aisuite,black.yml,Fwd+Bidir Only (Back MISSED),2,✓,✗,✓,success,failure,success,https://github.com/Muna4029/aisuite/actions/runs/32500913799,https://github.com/RabeyaMuna/aisuite/actions/runs/33794339438,https://github.com/RabeyaMuna/aisuite/actions/runs/33939243932
528,conan,main.yml,Fwd+Bidir Only (Back MISSED),2,✓,✗,✓,success,failure,success,https://github.com/Muna4029/conan/actions/runs/32500435765,https://github.com/RabeyaMuna/conan/actions/runs/33790673895,https://github.com/RabeyaMuna/conan/actions/runs/33939003423
544,conan,main.yml,Fwd+Bidir Only (Back MISSED),2,✓,✗,✓,success,failure,success,https://github.com/Muna4029/conan/actions/runs/32499894742,https://github.com/RabeyaMuna/conan/actions/runs/33789911945,https://github.com/RabeyaMuna/conan/actions/runs/33938736387
